cnpj;dsc_porte;dt_carga
05129842000161;Media;04/06/2023
05135822000101;Micro;04/06/2023
05135826000181;Micro;04/06/2023
05140729000187;Micro;04/06/2023
05152199000197;Micro;04/06/2023
05162529000125;Micro;04/06/2023
05168611000248;Media;04/06/2023
05169020000104;Micro;04/06/2023
05197443000138;Grande;04/06/2023
05200267000146;Pequena;04/06/2023
05200358000181;Grande;04/06/2023
05201340000102;Mei;04/06/2023
05206889000181;Pequena;04/06/2023
05218213000108;Pequena;04/06/2023
05220913000137;Micro;04/06/2023
05232315000188;Pequena;04/06/2023
05245782000142;Pequena;04/06/2023
05246094000105;Micro;04/06/2023
05252928000187;Micro;04/06/2023
05272103000124;Pequena;04/06/2023
05283451000105;Micro;04/06/2023
05283512000126;Mei;04/06/2023
05290642000609;Media;04/06/2023
05290889000102;Pequena;04/06/2023
05291418001000;Media;04/06/2023
05300197000440;Media;04/06/2023
05308028001429;Pequena;04/06/2023
05310319000137;Micro;04/06/2023
05313499000100;Micro;04/06/2023
05314460000108;Micro;04/06/2023
05319248000133;Micro;04/06/2023
05321244000190;Micro;04/06/2023
05332302000180;Mei;04/06/2023
05334661000177;Mei;04/06/2023
05351435000102;Pequena;04/06/2023
05362279000177;Pequena;04/06/2023
05367048000156;Micro;04/06/2023
05387829000102;Grande;04/06/2023
05389334000465;Media;04/06/2023
05392569000163;Grande;04/06/2023
05409085000180;Micro;04/06/2023
05416618002951;Grande;04/06/2023
05417190000160;Micro;04/06/2023
05421678000161;Micro;04/06/2023
05423452000108;Micro;04/06/2023
05424602000190;Micro;04/06/2023
05429508000123;Micro;04/06/2023
05431839000106;Mei;04/06/2023
05445468000103;Micro;04/06/2023
05450861000195;Pequena;04/06/2023
05462733000161;Micro;04/06/2023
05464917000160;Pequena;04/06/2023
05465132000102;Micro;04/06/2023
05475305000335;Grande;04/06/2023
